congress,delsouth,fips,geom_id,inc,king_dist,lewis_dist,name,turnout,vote_share,year
55,0,42,55042004,,4.0,4,pennsylvania,75683.0,0.2184903,1896.0
55,0,42,55042005,,5.0,5,pennsylvania,62437.0,0.2319778,1896.0
55,0,42,55042006,,6.0,6,pennsylvania,,,1896.0
55,0,42,55042007,,7.0,7,pennsylvania,43465.0,0.3851375,1896.0
55,0,42,55042008,,8.0,8,pennsylvania,33815.0,0.4951353,1896.0
55,0,42,55042009,,9.0,9,pennsylvania,49145.0,0.5315495,1896.0
55,0,42,55042010,,10.0,10,pennsylvania,32374.0,0.2548959,1896.0
55,0,42,55042011,,11.0,11,pennsylvania,29339.0,0.3660997,1896.0
55,0,42,55042012,,12.0,12,pennsylvania,38896.0,0.4621555000000001,1896.0
55,0,42,55042013,,13.0,13,pennsylvania,31125.0,0.466249,1896.0
55,0,42,55042014,,14.0,14,pennsylvania,25014.0,0.0,1896.0
55,0,42,55042015,,15.0,15,pennsylvania,31654.0,0.3615341,1896.0
55,0,42,55042016,,16.0,16,pennsylvania,36695.0,0.4129173,1896.0
55,0,42,55042017,,17.0,17,pennsylvania,29268.0,0.4808323000000001,1896.0
55,0,42,55042018,,18.0,18,pennsylvania,36677.0,0.3877634,1896.0
55,0,42,55042019,,19.0,19,pennsylvania,43542.0,0.5089338999999999,1896.0
55,0,42,55042020,,20.0,20,pennsylvania,37271.0,0.4640874,1896.0
55,0,42,55042021,,21.0,21,pennsylvania,51613.0,0.3771143,1896.0
55,0,42,55042022,,22.0,22,pennsylvania,41648.0,0.3070496,1896.0
55,0,42,55042023,,23.0,23,pennsylvania,27570.0,0.2245557,1896.0
55,0,42,55042024,,24.0,24,pennsylvania,63092.0,0.4206239000000001,1896.0
55,0,42,55042025,,25.0,25,pennsylvania,43579.0,0.3912435,1896.0
55,0,42,55042026,,26.0,26,pennsylvania,36954.0,0.490177,1896.0
55,0,42,55042027,,27.0,27,pennsylvania,25835.0,0.3893168,1896.0
55,0,42,55042028,,28.0,28,pennsylvania,37385.0,0.4838839,1896.0
55,0,42,55042000,,97.0,0,pennsylvania,,,1896.0
55,0,42,55042000,,98.0,0,pennsylvania,,,1896.0
55,0,17,55017001,,1.0,1,illinois,74705.0,0.3095241,1896.0
55,0,17,55017002,,2.0,2,illinois,63354.0,0.4468384,1896.0
55,0,17,55017003,,3.0,3,illinois,43560.0,0.4932277,1896.0
55,0,17,55017004,,4.0,4,illinois,42818.0,0.4776963,1896.0
55,0,17,55017005,,5.0,5,illinois,43028.0,0.4642326,1896.0
55,0,17,55017006,,6.0,6,illinois,44867.0,0.4266833,1896.0
55,0,17,55017007,,7.0,7,illinois,62723.0,0.3382013,1896.0
55,0,17,55017008,,8.0,8,illinois,44934.0,0.2862198,1896.0
55,0,17,55017009,,9.0,9,illinois,48190.0,0.3162689,1896.0
55,0,17,55017010,,10.0,10,illinois,47200.0,0.3334958,1896.0
55,0,17,55017011,,11.0,11,illinois,43299.0,0.4275849,1896.0
55,0,17,55017012,,12.0,12,illinois,47179.0,0.3945187,1896.0
55,0,17,55017013,,13.0,13,illinois,46135.0,0.4077382,1896.0
55,0,17,55017014,,14.0,14,illinois,48557.0,0.4821755999999999,1896.0
55,0,17,55017015,,15.0,15,illinois,48901.0,0.4968406,1896.0
55,0,17,55017016,,16.0,16,illinois,47087.0,0.5652303000000001,1896.0
55,0,17,55017017,,17.0,17,illinois,47527.0,0.4989585,1896.0
55,0,17,55017018,,18.0,18,illinois,42957.0,0.520474,1896.0
55,0,17,55017019,,19.0,19,illinois,46753.0,0.5124805,1896.0
55,0,17,55017020,,20.0,20,illinois,41867.0,0.5340483,1896.0
55,0,17,55017021,,21.0,21,illinois,46760.0,0.5042985,1896.0
55,0,17,55017022,,22.0,22,illinois,39877.0,0.4466484000000001,1896.0
55,0,18,55018001,,1.0,1,indiana,42663.0,0.4888545,1896.0
55,0,18,55018002,,2.0,2,indiana,42516.0,0.5117368,1896.0
55,0,18,55018003,,3.0,3,indiana,42402.0,0.5287015,1896.0
55,0,18,55018004,,4.0,4,indiana,46363.0,0.5088971999999999,1896.0
55,0,18,55018005,,5.0,5,indiana,50215.0,0.4963656,1896.0
55,0,18,55018006,,6.0,6,indiana,45950.0,0.4758868,1896.0
55,0,18,55018007,,7.0,7,indiana,53892.0,0.4604951,1896.0
55,0,18,55018008,,8.0,8,indiana,57458.0,0.4770963,1896.0
55,0,18,55018009,,9.0,9,indiana,46983.0,0.4973501,1896.0
55,0,18,55018010,,10.0,10,indiana,51379.0,0.4499893,1896.0
55,0,18,55018011,,11.0,11,indiana,51437.0,0.4585026,1896.0
55,0,18,55018012,,12.0,12,indiana,44948.0,0.5061849,1896.0
55,0,18,55018013,,13.0,13,indiana,49442.0,0.483961,1896.0
55,0,26,55026001,,1.0,1,michigan,43312.0,0.4453962,1896.0
55,0,26,55026002,,2.0,2,michigan,51618.0,0.4855089,1896.0
55,0,26,55026003,,3.0,3,michigan,48507.0,0.5043808,1896.0
55,0,26,55026004,,4.0,4,michigan,49512.0,0.4644127000000001,1896.0
55,0,26,55026005,,5.0,5,michigan,48974.0,0.4523829000000001,1896.0
